"MJD	band	Flux	Flux_err	FilterSet	Instr"
"57983.67001849116	Swope_V	1.8741465939801997e-16	1.8741465939801996e-17	SUDO_PTS	SUDO_PTS"
"57983.71581849	Swope_V	2.027555084536058e-16	2.0275550845360578e-17	SUDO_PTS	SUDO_PTS"
"57983.76001848889	Swope_V	2.181325913501682e-16	2.181325913501682e-17	SUDO_PTS	SUDO_PTS"
"57983.80261848781	Swope_V	2.3348487782650056e-16	2.334848778265006e-17	SUDO_PTS	SUDO_PTS"
"57983.84381848677	Swope_V	2.4882921333931594e-16	2.4882921333931594e-17	SUDO_PTS	SUDO_PTS"
"57983.88381848576	Swope_V	2.641937887143981e-16	2.6419378871439806e-17	SUDO_PTS	SUDO_PTS"
"57983.92271848478	Swope_V	2.795772850238263e-16	2.7957728502382637e-17	SUDO_PTS	SUDO_PTS"
"57983.96051848382	Swope_V	2.9494277516243894e-16	2.949427751624389e-17	SUDO_PTS	SUDO_PTS"
"57982.67361851633	DECam_Y	1.6010825539747687e-18	1.6010825539747687e-19	SUDO_PTS	SUDO_PTS"
"57982.88401851102	DECam_Y	9.610768373434311e-18	9.610768373434313e-19	SUDO_PTS	SUDO_PTS"
"57983.009918507836	DECam_Y	1.7623455745966422e-17	1.7623455745966424e-18	SUDO_PTS	SUDO_PTS"
"57983.10911850533	DECam_Y	2.5634978847468868e-17	2.5634978847468872e-18	SUDO_PTS	SUDO_PTS"
"57983.19371850319	DECam_Y	3.364986928543073e-17	3.3649869285430733e-18	SUDO_PTS	SUDO_PTS"
"57983.2686185013	DECam_Y	4.165428736784095e-17	4.165428736784095e-18	SUDO_PTS	SUDO_PTS"
"57983.33671849958	DECam_Y	4.9672565674801617e-17	4.967256567480161e-18	SUDO_PTS	SUDO_PTS"
"57983.399418498	DECam_Y	5.767870240680494e-17	5.7678702406804946e-18	SUDO_PTS	SUDO_PTS"
"57983.45791849652	DECam_Y	6.5687727382682e-17	6.5687727382682015e-18	SUDO_PTS	SUDO_PTS"
"57983.51291849513	DECam_Y	7.369229983936984e-17	7.369229983936985e-18	SUDO_PTS	SUDO_PTS"
"57983.56511849381	DECam_Y	8.17149105121411e-17	8.17149105121411e-18	SUDO_PTS	SUDO_PTS"
"57983.61471849256	DECam_Y	8.972190732940542e-17	8.972190732940543e-18	SUDO_PTS	SUDO_PTS"
"57983.66211849136	DECam_Y	9.772340142611408e-17	9.772340142611409e-18	SUDO_PTS	SUDO_PTS"
"57983.70771849021	DECam_Y	1.0574353906858589e-16	1.057435390685859e-17	SUDO_PTS	SUDO_PTS"
"57983.7515184891	DECam_Y	1.1374486890497945e-16	1.1374486890497946e-17	SUDO_PTS	SUDO_PTS"
"57983.79391848803	DECam_Y	1.2176838909319911e-16	1.2176838909319911e-17	SUDO_PTS	SUDO_PTS"
"57983.834818487	DECam_Y	1.2976714627845397e-16	1.2976714627845397e-17	SUDO_PTS	SUDO_PTS"
"57983.874518485994	DECam_Y	1.3777455602789928e-16	1.3777455602789929e-17	SUDO_PTS	SUDO_PTS"
"57983.91311848502	DECam_Y	1.4578993924680641e-16	1.457899392468064e-17	SUDO_PTS	SUDO_PTS"
"57983.95071848407	DECam_Y	1.538155522331147e-16	1.538155522331147e-17	SUDO_PTS	SUDO_PTS"
"57982.67361851633	DECam_g	3.1868080570461118e-18	3.186808057046112e-19	SUDO_PTS	SUDO_PTS"
"57982.88401851102	DECam_g	1.912935345577882e-17	1.912935345577882e-18	SUDO_PTS	SUDO_PTS"
"57983.009918507836	DECam_g	3.507787317075873e-17	3.507787317075873e-18	SUDO_PTS	SUDO_PTS"
"57983.10911850533	DECam_g	5.1024075510979463e-17	5.102407551097947e-18	SUDO_PTS	SUDO_PTS"
"57983.19371850319	DECam_g	6.69769802257486e-17	6.6976980225748614e-18	SUDO_PTS	SUDO_PTS"
"57983.2686185013	DECam_g	8.290904067676296e-17	8.290904067676296e-18	SUDO_PTS	SUDO_PTS"
"57983.33671849958	DECam_g	9.886868863421802e-17	9.886868863421802e-18	SUDO_PTS	SUDO_PTS"
"57983.399418498	DECam_g	1.1480416989970378e-16	1.148041698997038e-17	SUDO_PTS	SUDO_PTS"
"57983.45791849652	DECam_g	1.307453999498632e-16	1.307453999498632e-17	SUDO_PTS	SUDO_PTS"
"57983.51291849513	DECam_g	1.4667776766872611e-16	1.4667776766872613e-17	SUDO_PTS	SUDO_PTS"
"57983.56511849381	DECam_g	1.626460388031916e-16	1.626460388031916e-17	SUDO_PTS	SUDO_PTS"
"57983.61471849256	DECam_g	1.785832319895478e-16	1.785832319895478e-17	SUDO_PTS	SUDO_PTS"
"57983.66211849136	DECam_g	1.9450947251505662e-16	1.9450947251505662e-17	SUDO_PTS	SUDO_PTS"
"57983.70771849021	DECam_g	2.1047282130940658e-16	2.104728213094066e-17	SUDO_PTS	SUDO_PTS"
"57983.7515184891	DECam_g	2.263987348898155e-16	2.263987348898155e-17	SUDO_PTS	SUDO_PTS"
"57983.79391848803	DECam_g	2.423688163314083e-16	2.423688163314083e-17	SUDO_PTS	SUDO_PTS"
"57983.834818487	DECam_g	2.5828960928555316e-16	2.5828960928555317e-17	SUDO_PTS	SUDO_PTS"
"57983.874518485994	DECam_g	2.742276243755633e-16	2.742276243755633e-17	SUDO_PTS	SUDO_PTS"
"57983.91311848502	DECam_g	2.9018150992563225e-16	2.9018150992563226e-17	SUDO_PTS	SUDO_PTS"
"57983.95071848407	DECam_g	3.061557568899797e-16	3.061557568899797e-17	SUDO_PTS	SUDO_PTS"
"57982.57561851881	DECam_i	2.616570542760056e-18	2.6165705427600565e-19	SUDO_PTS	SUDO_PTS"
"57982.64401851708	DECam_i	1.573455997000322e-17	1.573455997000322e-18	SUDO_PTS	SUDO_PTS"
"57982.684918516046	DECam_i	2.8851216584685437e-17	2.8851216584685442e-18	SUDO_PTS	SUDO_PTS"
"57982.71711851523	DECam_i	4.195406148689984e-17	4.195406148689985e-18	SUDO_PTS	SUDO_PTS"
"57982.74461851454	DECam_i	5.5080790861998387e-17	5.508079086199838e-18	SUDO_PTS	SUDO_PTS"
"57982.768918513924	DECam_i	6.816470510792686e-17	6.816470510792685e-18	SUDO_PTS	SUDO_PTS"
"57982.791018513366	DECam_i	8.12735535640662e-17	8.127355356406621e-18	SUDO_PTS	SUDO_PTS"
"57982.81141851285	DECam_i	9.439663834552464e-17	9.439663834552466e-18	SUDO_PTS	SUDO_PTS"
"57982.83041851237	DECam_i	1.075020781040524e-16	1.075020781040524e-17	SUDO_PTS	SUDO_PTS"
