MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err
57982.566218519045	GFC_i	1.0677809791313509e-16	1.067780979131351e-17	SUDO_PTS	SUDO_PTS	0.037699999047617894	-1.4236586607654087	-15.971517819694508	0.04342944819032518
57982.57351851886	GFC_i	1.2403414540773322e-16	1.2403414540773323e-17	SUDO_PTS	SUDO_PTS	0.04499999886320438	-1.3467874971958578	-15.90645874128284	0.04342944819032518
57982.58131851866	GFC_i	1.4135031570762451e-16	1.413503157076245e-17	SUDO_PTS	SUDO_PTS	0.05279999866615981	-1.2773660884373892	-15.849703217171447	0.043429448190325175
57982.589618518454	GFC_i	1.5855910511391222e-16	1.5855910511391223e-17	SUDO_PTS	SUDO_PTS	0.06109999845648417	-1.2139588007286473	-15.799808813951046	0.04342944819032518
57982.59861851823	GFC_i	1.7587053833136144e-16	1.7587053833136146e-17	SUDO_PTS	SUDO_PTS	0.07009999822912505	-1.154281993004543	-15.754806907056263	0.04342944819032518
57982.60831851798	GFC_i	1.9304444684192044e-16	1.9304444684192046e-17	SUDO_PTS	SUDO_PTS	0.07979999798408244	-1.097997119620472	-15.714342686868726	0.04342944819032518
57982.61901851771	GFC_i	2.1031605314077177e-16	2.103160531407718e-17	SUDO_PTS	SUDO_PTS	0.0904999977137777	-1.0433514317659982	-15.677127576936247	0.04342944819032519
57982.63091851741	GFC_i	2.2761293623006896e-16	2.2761293623006898e-17	SUDO_PTS	SUDO_PTS	0.10239999741315842	-0.9897000543313896	-15.642803058737067	0.04342944819032518
57982.644218517074	GFC_i	2.4476162010222815e-16	2.4476162010222817e-17	SUDO_PTS	SUDO_PTS	0.11569999707717216	-0.936666652019452	-15.611256680826225	0.04342944819032518
57982.659618516685	GFC_i	2.620209692861429e-16	2.620209692861429e-17	SUDO_PTS	SUDO_PTS	0.13109999668813543	-0.8823973192811173	-15.581663951119776	0.04342944819032518
57982.67791851622	GFC_i	2.7932988310630327e-16	2.793298831063033e-17	SUDO_PTS	SUDO_PTS	0.14939999622583855	-0.8256494134918216	-15.553882600375118	0.04342944819032518
57982.700418515655	GFC_i	2.965282436780085e-16	2.965282436780085e-17	SUDO_PTS	SUDO_PTS	0.17189999565744074	-0.7647241342841491	-15.527933934713444	0.04342944819032518
